Appl_Type~Appl_No~Product_No~Patent_No~Patent_Expire_Date_Text~Drug_Substance_Flag~Drug_Product_Flag~Patent_Use_Code~Delist_Flag
N~020908~002~7018992~Sep 17, 2022~~~U-1023~
N~020929~001~6598603~Dec 23, 2018~~~U-529~
N~020929~001~6899099~Dec 23, 2018~~~U-529~
N~020929~001~7524834~Nov 11, 2018~~Y~U-966~
N~020929~002~6598603~Dec 23, 2018~~~U-529~
N~020929~002~6899099~Dec 23, 2018~~~U-529~
N~020929~002~7524834~Nov 11, 2018~~Y~U-966~
N~020929~003~6598603~Dec 23, 2018~~~U-529~
N~020929~003~6899099~Dec 23, 2018~~~U-529~
N~020929~003~7524834~Nov 11, 2018~~Y~U-966~
N~020936~001~6121291~Mar 17, 2017~~~U-286~
N~020936~001~7229640~Jul 19, 2016~~Y~U-816~
N~020936~002~6121291~Mar 17, 2017~~~U-286~
N~020936~002~7229640~Jul 19, 2016~~Y~U-816~
N~020936~003~6121291~Mar 17, 2017~~~U-286~
N~020936~003~7229640~Jul 19, 2016~~Y~U-816~
N~020946~001~6156742~Dec 5, 2020~~~U-374~
N~020947~001~8217078~Jul 10, 2029~~~U-1248~
N~020949~001~6702997~Dec 28, 2021~~~U-558~
N~020949~002~6702997~Dec 28, 2021~~~U-558~
N~020950~001~6632842~Dec 28, 2021~~~U-532~
N~020965~001~5954703~Oct 31, 2017~~~U-289~
N~020965~001~6709446~May 1, 2018~~~U-289~
N~020965~001~7723910~Jun 17, 2019~~~U-289~
N~020965~001~8216289~May 1, 2018~~~U-289~
N~020972~001~6555133~Apr 6, 2019~~~U-248~
N~020972~002~6555133~Apr 6, 2019~~~U-248~
N~020972~003~6555133~Apr 6, 2019~~~U-248~
N~020977~001~6294540~May 14, 2018~Y~Y~U-65~
N~020978~001~6294540~May 14, 2018~Y~Y~U-65~
N~020983~001~6558651~Dec 19, 2016~~Y~U-716~
N~020985~001~6670335~Jun 2, 2021~~Y~U-68~
N~020990~001~6727283~Oct 11, 2019~~Y~U-580~
N~021014~001~7037525~Feb 12, 2018~~~U-724~
N~021014~002~7037525~Feb 12, 2018~~~U-724~
N~021014~003~7037525~Feb 12, 2018~~~U-724~
N~021015~001~6503894~Aug 30, 2020~~~U-490~
N~021015~002~6503894~Aug 30, 2020~~~U-490~
N~021015~003~6503894~Aug 30, 2020~~~U-490~
N~021016~001~5545644~Dec 26, 2016~Y~Y~U-876~
N~021016~002~5545644~Dec 26, 2016~Y~Y~U-876~
N~021038~002~8455527~Jan 4, 2032~~~U-421~
N~021038~003~8455527~Jan 4, 2032~~~U-421~
N~021040~001~6747019~Mar 20, 2020~~~U-311~
N~021040~001~7320970~Mar 30, 2020~~Y~U-844~
N~021042~001~6063811~May 6, 2017~~~U-602~
N~021042~002~6063811~May 6, 2017~~~U-602~
N~021042~003~6063811~May 6, 2017~~~U-602~
N~021052~001~6063811~May 6, 2017~~~U-266~
N~021052~002~6063811~May 6, 2017~~~U-266~
N~021055~001~5962731~Oct 5, 2016~~~U-475~
N~021057~001~6653286~Jun 16, 2018~~~U-1354~
N~021060~001~5364842~Dec 30, 2016~~~U-55~
N~021060~001~5364842~Dec 30, 2016~~~U-48~
N~021060~002~5364842~Dec 30, 2016~~~U-55~
N~021060~002~5364842~Dec 30, 2016~~~U-48~
N~021060~003~5364842~Dec 30, 2016~~~U-55~
N~021060~003~5364842~Dec 30, 2016~~~U-48~
N~021060~004~5364842~Dec 30, 2016~~~U-55~
N~021060~004~5364842~Dec 30, 2016~~~U-48~
N~021071~002~6288095~Feb 11, 2017~~~U-420~Y
N~021071~003~6288095~Feb 11, 2017~~~U-420~Y
N~021071~004~6288095~Feb 11, 2017~~~U-420~Y
N~021073~001~6303640~Aug 9, 2016~~~U-425~
N~021073~002~6303640~Aug 9, 2016~~~U-425~
N~021073~003~6303640~Aug 9, 2016~~~U-425~
N~021085~001~5849752~Dec 5, 2016~~~U-298~
N~021086~001~6960577~Nov 1, 2017~~~U-964~
N~021086~002~6960577~Nov 1, 2017~~~U-964~
N~021086~003~6960577~Nov 1, 2017~~~U-964~
N~021086~004~6960577~Nov 1, 2017~~~U-964~
N~021088~001~5728396~Jan 30, 2017~~~U-316~
N~021399~001~5770599~May 5, 2017~Y~Y~U-881~
N~021400~001~6362178~Oct 31, 2018~Y~Y~U-533~
N~021400~001~7696206~Oct 31, 2018~Y~Y~U-533~
N~021400~001~8273876~Jul 23, 2027~~~U-1288~
N~021400~002~6362178~Oct 31, 2018~Y~Y~U-533~
N~021400~002~7696206~Oct 31, 2018~Y~Y~U-533~
N~021400~002~8273876~Jul 23, 2027~~~U-1288~
N~021400~003~6362178~Oct 31, 2018~Y~Y~U-533~
N~021400~003~7696206~Oct 31, 2018~Y~Y~U-533~
N~021400~003~8273876~Jul 23, 2027~~~U-1288~
N~021400~004~6362178~Oct 31, 2018~Y~Y~U-533~
N~021400~004~7696206~Oct 31, 2018~Y~Y~U-533~
N~021400~004~8273876~Jul 23, 2027~~~U-1288~
N~021406~001~6440392~Feb 2, 2021~~Y~U-227~
N~021406~001~RE43580~Feb 2, 2021~~Y~U-227~
N~021410~001~6288095~Feb 11, 2017~~~U-493~Y
N~021410~002~6288095~Feb 11, 2017~~~U-493~Y
N~021410~003~6288095~Feb 11, 2017~~~U-493~Y
N~021411~001~5658590~Nov 26, 2016~~~U-494~
N~021411~002~5658590~Nov 26, 2016~~~U-494~
N~021411~003~5658590~Nov 26, 2016~~~U-494~
N~021411~004~5658590~Nov 26, 2016~~~U-494~
N~021411~005~5658590~Nov 26, 2016~~~U-494~
N~021411~006~5658590~Nov 26, 2016~~~U-494~
N~021411~007~5658590~Nov 26, 2016~~~U-494~
N~021411~008~5658590~Nov 26, 2016~~~U-494~
N~021427~001~6596756~Sep 10, 2019~~~U-882~
N~021427~002~6596756~Sep 10, 2019~~~U-882~
N~021427~004~6596756~Sep 10, 2019~~~U-882~
N~021437~001~6410054~Dec 8, 2019~~~U-3~
N~021437~001~6410054~Dec 8, 2019~~~U-537~
N~021437~001~6410524~Nov 5, 2019~~~U-467~
N~021437~001~6495165~Dec 8, 2019~~~U-3~
N~021437~001~6495165~Dec 8, 2019~~~U-537~
N~021437~001~6534093~Dec 8, 2019~~~U-3~
N~021437~001~6534093~Dec 8, 2019~~~U-537~
N~021437~001~6558707~Dec 8, 2019~~Y~U-537~
N~021437~001~6747020~Nov 5, 2019~~~U-587~
N~021437~001~7157101~Dec 8, 2019~~Y~U-664~
N~021437~002~6410054~Dec 8, 2019~~~U-3~
N~021437~002~6410054~Dec 8, 2019~~~U-537~
N~021437~002~6410524~Nov 5, 2019~~~U-467~
N~021437~002~6495165~Dec 8, 2019~~~U-3~
N~021437~002~6495165~Dec 8, 2019~~~U-537~
N~021437~002~6534093~Dec 8, 2019~~~U-3~
N~021437~002~6534093~Dec 8, 2019~~~U-537~
N~021437~002~6558707~Dec 8, 2019~~Y~U-537~
N~021437~002~6747020~Nov 5, 2019~~~U-587~
N~021437~002~7157101~Dec 8, 2019~~Y~U-664~
N~021437~003~6410054~Dec 8, 2019~~~U-3~
N~021437~003~6410054~Dec 8, 2019~~~U-537~
N~021437~003~6410524~Nov 5, 2019~~~U-467~
N~021437~003~6495165~Dec 8, 2019~~~U-3~
N~021437~003~6495165~Dec 8, 2019~~~U-537~
N~021437~003~6534093~Dec 8, 2019~~~U-3~
N~021437~003~6534093~Dec 8, 2019~~~U-537~
N~021437~003~6558707~Dec 8, 2019~~Y~U-537~
N~021437~003~6747020~Nov 5, 2019~~~U-587~
N~021437~003~7157101~Dec 8, 2019~~Y~U-664~
